comments,hate
제발~~부끄러운줄알았음..이혼은왜하셨나요??사생활지저분한쇼호스트가 티비나와서할소린아닌줄..,2
윌리엄 그동안 스킵했었는데 오늘 이모습하고 서준이에서 눈여겨볼 아이로 성장했움,0
우익 꺼지셈,1
이뻐보이진 않는데..,0
와ㅜㅜ 고배우 연기 진짜ㅜㅜ 와 소름돋음,0
방금 유동근 아재 회장여자 한테 엄포 놓을때 포스 ㅎㄷㄷ간만에 정도전때 포스 나오더만 진작 이렇게 만들지 이상하게 캐릭터를 만들어 놓아서.,0
백상까지 조작한 sm.문재인들어서고 방송 문화 경제등 비리와 부패가 더 심각하고 망하고있다.조작사기댜 sm비리와 조작으로 인기구걸하는데도 조사없는 문재인끌어내려야지,2
당신을 보면 딱 이구절만 생각나네요바보가 신념을 가지면 무섭습니다.결혼한다니 축하드리고 잘사시길 바랍니다.자기 주제에 맞게 사시길.,1
육아하는 아빠라니 육아는 부모라면 당연한거고요....ㅋ..;;,0
저런곳에 일하는여자가 저런거 당했다고 하루하루 괴롭게 지낸다고?개가 웃겠다ㅋㅋ돈만주면 2차 나가는거 졸 좋아하는 애들 아니냐? 그리고 성매매 업소도 아니라고? 성매매 업소도 성매매 업소라고 안하고 성매매하거든?어이없네,2
성매수 전국에 몇십만명은 해봤을텐데 뉴스메인에 뜰 기사는 아닌듯ㅋ,1
꼬시다ㅋㅋㅋㅋㅋㅋ근데 얜 누구징;,1
신동미 전부터 연기 잘한다고 생각했는데 왜그레 풍상씨에서 호소력 있는 연기 정말 좋았고 동상이몽에 나와서 더 호감가고 좋은 사람이란 생각이 들었고 남편분도 호감이 가고~ 더욱더 좋은 연기 해주기를 응원할게요 ~**,0
앞에 쟤임? 남자냐 여자냐,2
박서준 방귀 냄새 독할거 같아,2
ㅋㅋㅋ 가정적인 모습 보여주려고 애쓴다 애써사람 그렇게 쉽게 안변한다ㅋㅋㅋ쇼인도 부부 많던데~연기자부부니 알아서들 연기는 잘 할 듯~?,1
죽은 세월호 구원파 교주 유병언이 조까사위 딸로환생한듯,2
일베놈들 부들거리노 ㅋㅋㅋㅋㅋㅋㅋㅋ,2
변함없이 예쁘시더라구요.세월은 나만 정통으로 맞고있는듯..ㅠ,0
서인구 싫은데 뭔가 자꾸 잼나 ㅜ ㅜ 군더더기 없고 진도 빠르고 억지도 없고 연출자들 박수 ~,0
혼자 연기한다고 설쳐서 EXID 해체하나보네... 한 여자의 이기심으로 다른 이의 꿈까지 다 짓밟네...,1
왜 HOT 발톱의 때보다 못한 것들인지 여실히 들어난다 라이벌은 개뿔 얘넨 오합지졸이다 젝키 .. 여섯개의 똥파리들,2
"여자 만나다 질리면 대충 버리는거지; 역시 멋진 남자, 현명한 남자 만석씨",2
대머리 싫어 ㅡㅡ,2
댓글은 ㅈㄴ보수적인데 왜 지금 정권은 좌파인지.. 박근혜가 잘못했네,2
